"trial","ref_position","var_area","response","correct","rt"
1,"R",10.3781678641681,"R",FALSE,1.89000010490417
2,"L",14.9503272681031,"R",TRUE,1.26799988746643
3,"R",9.33147638337687,"R",FALSE,1.5789999961853
4,"L",14.0379816447385,"R",TRUE,1.38799977302551
5,"R",10.7690898550209,"R",FALSE,2.6029999256134
6,"R",12.2021863088012,"R",FALSE,1.6710000038147
7,"R",13.6657542879693,"R",FALSE,1.27999997138977
8,"L",10.2726401358377,"R",TRUE,1.30299997329712
9,"R",10.9320195703767,"R",FALSE,1.5770001411438
10,"R",14.674035434844,"R",FALSE,2.59299993515015
11,"L",13.8418476451188,"L",FALSE,0.483999967575073
12,"R",12.2318808347918,"L",TRUE,0.200999975204468
13,"L",11.7486917395145,"L",FALSE,0.0789999961853027
14,"L",10.6896244350355,"L",FALSE,0.187999963760376
15,"R",12.3733667726628,"L",TRUE,0.191999912261963
16,"R",14.3611450509634,"L",TRUE,0.190000057220459
17,"R",11.6969880990218,"L",TRUE,0.0820000171661377
18,"L",12.1719264653511,"L",FALSE,0.187999963760376
19,"R",9.93565263808705,"L",TRUE,0.288000106811523
